Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
10.9 - EU1 Sanity Check,Firefox 63.0,,2018-12-06 13:45:10,2018-12-06 13:57:12,12m - 1.563s,FAILED
,,,,,,
"Test Cases/EU1/EU 1 - Overview, or Landing Page",Firefox 63.0,"This will cover the Overview page, and if this is used on a DMS with no Overview page (Pre Analytics 10.7) if will test the Landing page after logging in.",2018-12-06 13:45:10,2018-12-06 13:48:38,3m - 27.351s,FAILED
openBrowser,Firefox 63.0,"Fires up the browser
",2018-12-06 13:45:11,2018-12-06 13:45:21,10.696s,PASSED
setText,Firefox 63.0,Filling out login info (username),2018-12-06 13:45:21,2018-12-06 13:45:22,0.245s,PASSED
setEncryptedText,Firefox 63.0,Filling out login info (password),2018-12-06 13:45:22,2018-12-06 13:45:22,0.169s,PASSED
click,Firefox 63.0,Clicks the Stay Logged In button,2018-12-06 13:45:22,2018-12-06 13:45:22,0.470s,PASSED
click,Firefox 63.0,Clicks the Submit button to login,2018-12-06 13:45:22,2018-12-06 13:45:26,4.035s,PASSED
waitForAngularLoad,Firefox 63.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-12-06 13:45:26,2018-12-06 13:45:29,2.958s,PASSED
click,Firefox 63.0,Clicks the filter to access options,2018-12-06 13:45:29,2018-12-06 13:45:30,0.670s,PASSED
selectOptionByValue,Firefox 63.0,"Use the filter dropdown to set a Time Filter of ""Is in the year""",2018-12-06 13:45:30,2018-12-06 13:45:31,0.786s,PASSED
setText,Firefox 63.0,"Set 2017 in the ""Is in the year"" field",2018-12-06 13:45:31,2018-12-06 13:45:31,0.130s,PASSED
waitForAngularLoad,Firefox 63.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-12-06 13:45:31,2018-12-06 13:45:31,0.016s,PASSED
click,Firefox 63.0,Clicks the Run button,2018-12-06 13:45:31,2018-12-06 13:45:31,0.349s,PASSED
waitForAngularLoad,Firefox 63.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-12-06 13:45:31,2018-12-06 13:45:39,7.959s,PASSED
click,Firefox 63.0,Clicks the gear icon to access Clear Cache and Refresh option,2018-12-06 13:45:39,2018-12-06 13:45:39,0.286s,PASSED
click,Firefox 63.0,Clear cache and refresh to get clean data,2018-12-06 13:45:39,2018-12-06 13:45:40,0.455s,PASSED
waitForPageLoad,Firefox 63.0,,2018-12-06 13:45:40,2018-12-06 13:45:40,0.028s,PASSED
waitForAngularLoad,Firefox 63.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-12-06 13:45:40,2018-12-06 13:45:52,12.109s,PASSED
verifyElementText,Firefox 63.0,"Verify ""Total Live Events"" widget is on the page",2018-12-06 13:45:52,2018-12-06 13:45:52,0.290s,PASSED
verifyElementText,Firefox 63.0,"FIXTURE DATA - Verify Total Live Events widget has a value of 2,563",2018-12-06 13:45:52,2018-12-06 13:45:52,0.044s,PASSED
verifyElementText,Firefox 63.0,"Verify ""Average Monthly Events"" widget is on the page",2018-12-06 13:45:52,2018-12-06 13:45:52,0.035s,PASSED
verifyElementText,Firefox 63.0,FIXTURE DATA - Verify Average Monthly Events widget has a value of 226,2018-12-06 13:45:52,2018-12-06 13:45:52,0.040s,PASSED
