Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
10.9 - Intel Sanity Check,Firefox 63.0,,2018-12-07 13:48:05,2018-12-07 13:57:38,9m - 32.968s,FAILED
,,,,,,
Test Cases/Intel/Intel - Logging In and Out,Firefox 63.0,This will cover primarily the log in process and validation of Sudoing as a different user,2018-12-07 13:48:05,2018-12-07 13:48:23,17.832s,PASSED
openBrowser,Firefox 63.0,"Fires up the browser
",2018-12-07 13:48:05,2018-12-07 13:48:13,7.606s,PASSED
setText,Firefox 63.0,Filling out login info (username),2018-12-07 13:48:13,2018-12-07 13:48:13,0.208s,PASSED
setEncryptedText,Firefox 63.0,Filling out login info (password),2018-12-07 13:48:13,2018-12-07 13:48:13,0.153s,PASSED
click,Firefox 63.0,Clicks the Stay Logged In button,2018-12-07 13:48:13,2018-12-07 13:48:14,0.449s,PASSED
click,Firefox 63.0,Clicks the Submit button to login,2018-12-07 13:48:14,2018-12-07 13:48:17,3.306s,PASSED
waitForAngularLoad,Firefox 63.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-12-07 13:48:17,2018-12-07 13:48:20,2.456s,PASSED
verifyElementPresent,Firefox 63.0,,2018-12-07 13:48:20,2018-12-07 13:48:20,0.199s,PASSED
verifyElementPresent,Firefox 63.0,,2018-12-07 13:48:20,2018-12-07 13:48:20,0.245s,PASSED
verifyElementPresent,Firefox 63.0,,2018-12-07 13:48:20,2018-12-07 13:48:20,0.041s,PASSED
verifyElementPresent,Firefox 63.0,,2018-12-07 13:48:20,2018-12-07 13:48:20,0.145s,PASSED
verifyElementPresent,Firefox 63.0,,2018-12-07 13:48:20,2018-12-07 13:48:20,0.021s,PASSED
verifyElementPresent,Firefox 63.0,,2018-12-07 13:48:20,2018-12-07 13:48:20,0.027s,PASSED
verifyElementPresent,Firefox 63.0,,2018-12-07 13:48:20,2018-12-07 13:48:20,0.150s,PASSED
verifyElementPresent,Firefox 63.0,,2018-12-07 13:48:20,2018-12-07 13:48:20,0.034s,PASSED
verifyElementPresent,Firefox 63.0,,2018-12-07 13:48:20,2018-12-07 13:48:20,0.027s,PASSED
click,Firefox 63.0,,2018-12-07 13:48:21,2018-12-07 13:48:21,0.395s,PASSED
click,Firefox 63.0,,2018-12-07 13:48:21,2018-12-07 13:48:22,1.092s,PASSED
verifyElementPresent,Firefox 63.0,,2018-12-07 13:48:22,2018-12-07 13:48:22,0.025s,PASSED
verifyTextPresent,Firefox 63.0,,2018-12-07 13:48:22,2018-12-07 13:48:22,0.112s,PASSED
closeBrowser,Firefox 63.0,,2018-12-07 13:48:22,2018-12-07 13:48:23,0.763s,PASSED
,,,,,,
"Test Cases/Intel/Intel - Overview, or Landing Page",Firefox 63.0,"This will cover the Overview page, and if this is used on a DMS with no Overview page (Pre Analytics 10.7) if will test the Landing page after logging in.",2018-12-07 13:48:23,2018-12-07 13:51:34,3m - 11.597s,FAILED
openBrowser,Firefox 63.0,"Fires up the browser
",2018-12-07 13:48:23,2018-12-07 13:48:28,5.002s,PASSED
setText,Firefox 63.0,Filling out login info (username),2018-12-07 13:48:28,2018-12-07 13:48:28,0.128s,PASSED
setEncryptedText,Firefox 63.0,Filling out login info (password),2018-12-07 13:48:28,2018-12-07 13:48:28,0.043s,PASSED
click,Firefox 63.0,Clicks the Stay Logged In button,2018-12-07 13:48:28,2018-12-07 13:48:29,0.372s,PASSED
click,Firefox 63.0,Clicks the Submit button to login,2018-12-07 13:48:29,2018-12-07 13:48:32,3.350s,PASSED
waitForAngularLoad,Firefox 63.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-12-07 13:48:32,2018-12-07 13:48:34,2.292s,PASSED
click,Firefox 63.0,Clicks the filter to access options,2018-12-07 13:48:34,2018-12-07 13:48:35,0.994s,PASSED
selectOptionByValue,Firefox 63.0,"Use the filter dropdown to set a Time Filter of ""Is in the year""",2018-12-07 13:48:35,2018-12-07 13:48:36,1.080s,PASSED
setText,Firefox 63.0,"Set 2017 in the ""Is in the year"" field",2018-12-07 13:48:36,2018-12-07 13:48:37,0.151s,PASSED
waitForAngularLoad,Firefox 63.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-12-07 13:48:37,2018-12-07 13:48:37,0.025s,PASSED
