Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
10.9 - Prod2 Sanity,Firefox 63.0,,2018-12-04 14:02:40,2018-12-04 14:11:25,8m - 45.402s,FAILED
,,,,,,
"Test Cases/Prod 2/Prod 2 - Overview, or Landing Page",Firefox 63.0,"This will cover the Overview page, and if this is used on a DMS with no Overview page (Pre Analytics 10.7) if will test the Landing page after logging in.",2018-12-04 14:02:40,2018-12-04 14:03:37,57.134s,FAILED
openBrowser,Firefox 63.0,"Fires up the browser
",2018-12-04 14:02:41,2018-12-04 14:02:47,6.727s,PASSED
setText,Firefox 63.0,Filling out login info (username),2018-12-04 14:02:47,2018-12-04 14:02:48,0.245s,PASSED
setEncryptedText,Firefox 63.0,Filling out login info (password),2018-12-04 14:02:48,2018-12-04 14:02:48,0.170s,PASSED
click,Firefox 63.0,Clicks the Stay Logged In button,2018-12-04 14:02:48,2018-12-04 14:02:48,0.452s,PASSED
click,Firefox 63.0,Clicks the Submit button to login,2018-12-04 14:02:48,2018-12-04 14:02:51,3.069s,PASSED
waitForAngularLoad,Firefox 63.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-12-04 14:02:51,2018-12-04 14:02:54,2.823s,PASSED
click,Firefox 63.0,Clicks the filter to access options,2018-12-04 14:02:54,2018-12-04 14:02:55,0.739s,PASSED
selectOptionByValue,Firefox 63.0,"Use the filter dropdown to set a Time Filter of ""Is in the year""",2018-12-04 14:02:55,2018-12-04 14:02:56,0.858s,PASSED
setText,Firefox 63.0,"Set 2017 in the ""Is in the year"" field",2018-12-04 14:02:56,2018-12-04 14:02:56,0.134s,PASSED
waitForAngularLoad,Firefox 63.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-12-04 14:02:56,2018-12-04 14:02:56,0.013s,PASSED
click,Firefox 63.0,Clicks the Run button,2018-12-04 14:02:56,2018-12-04 14:02:56,0.377s,PASSED
waitForAngularLoad,Firefox 63.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-12-04 14:02:56,2018-12-04 14:03:10,13.793s,PASSED
waitForPageLoad,Firefox 63.0,,2018-12-04 14:03:10,2018-12-04 14:03:10,0.018s,PASSED
click,Firefox 63.0,Clicks the gear icon to access Clear Cache and Refresh option,2018-12-04 14:03:10,2018-12-04 14:03:10,0.271s,PASSED
click,Firefox 63.0,Clear cache and refresh to get clean data,2018-12-04 14:03:10,2018-12-04 14:03:11,0.390s,PASSED
