Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BofA Sanity Check,Firefox 62.0,,2018-11-02 11:14:38,2018-11-02 11:27:28,12m - 49.975s,FAILED
,,,,,,
Test Cases/BofA/BofA - Logging In and Out,Firefox 62.0,This will cover primarily the log in process and validation of Sudoing as a different user,2018-11-02 11:14:38,2018-11-02 11:15:53,1m - 14.808s,FAILED
openBrowser,Firefox 62.0,"Fires up the browser
",2018-11-02 11:14:38,2018-11-02 11:14:43,4.698s,PASSED
setText,Firefox 62.0,Filling out login info (username),2018-11-02 11:14:43,2018-11-02 11:14:43,0.181s,PASSED
setEncryptedText,Firefox 62.0,Filling out login info (password),2018-11-02 11:14:43,2018-11-02 11:14:43,0.123s,PASSED
click,Firefox 62.0,Clicks the Stay Logged In button,2018-11-02 11:14:43,2018-11-02 11:14:44,0.255s,PASSED
click,Firefox 62.0,Clicks the Submit button to login,2018-11-02 11:14:44,2018-11-02 11:14:47,3.089s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-11-02 11:14:47,2018-11-02 11:14:48,1.424s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:48,2018-11-02 11:14:48,0.206s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:48,2018-11-02 11:14:49,0.247s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.145s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.031s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.230s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.144s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.025s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.020s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.019s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.015s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.022s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.040s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.023s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.026s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:14:49,0.024s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:14:49,2018-11-02 11:15:20,30.926s,FAILED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:15:20,2018-11-02 11:15:20,0.009s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:15:20,2018-11-02 11:15:20,0.009s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:15:20,2018-11-02 11:15:20,0.012s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:15:20,2018-11-02 11:15:20,0.014s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:15:20,2018-11-02 11:15:20,0.013s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:15:20,2018-11-02 11:15:20,0.011s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:15:20,2018-11-02 11:15:51,30.842s,FAILED
click,Firefox 62.0,,2018-11-02 11:15:51,2018-11-02 11:15:52,0.423s,PASSED
click,Firefox 62.0,,2018-11-02 11:15:52,2018-11-02 11:15:53,0.886s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-02 11:15:53,2018-11-02 11:15:53,0.012s,PASSED
verifyTextPresent,Firefox 62.0,,2018-11-02 11:15:53,2018-11-02 11:15:53,0.080s,PASSED
closeBrowser,Firefox 62.0,,2018-11-02 11:15:53,2018-11-02 11:15:53,0.238s,PASSED
,,,,,,
Test Cases/BofA/BofA - Navigation,Firefox 62.0,,2018-11-02 11:15:53,2018-11-02 11:17:10,1m - 17.511s,FAILED
openBrowser,Firefox 62.0,"Fires up the browser
",2018-11-02 11:15:53,2018-11-02 11:15:58,4.783s,PASSED
setText,Firefox 62.0,Filling out login info (username),2018-11-02 11:15:58,2018-11-02 11:15:58,0.097s,PASSED
setEncryptedText,Firefox 62.0,Filling out login info (password),2018-11-02 11:15:58,2018-11-02 11:15:58,0.046s,PASSED
click,Firefox 62.0,Clicks the Stay Logged In button,2018-11-02 11:15:58,2018-11-02 11:15:58,0.233s,PASSED
click,Firefox 62.0,Clicks the Submit button to login,2018-11-02 11:15:58,2018-11-02 11:16:02,3.541s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-11-02 11:16:02,2018-11-02 11:16:04,1.889s,PASSED
waitForPageLoad,Firefox 62.0,,2018-11-02 11:16:04,2018-11-02 11:16:04,0.064s,PASSED
verifyElementVisible,Firefox 62.0,,2018-11-02 11:16:04,2018-11-02 11:16:05,0.882s,FAILED
verifyElementVisible,Firefox 62.0,,2018-11-02 11:16:05,2018-11-02 11:16:05,0.813s,PASSED
click,Firefox 62.0,"Use the Live Event Summary CTA
",2018-11-02 11:16:05,2018-11-02 11:16:09,3.452s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-11-02 11:16:09,2018-11-02 11:16:11,2.443s,PASSED
verifyElementText,Firefox 62.0,Verify we are on the Live Event Summary page by looking for the Live Event Summary title,2018-11-02 11:16:11,2018-11-02 11:16:11,0.077s,PASSED
click,Firefox 62.0,"Go back to the Landing page via Overview in the nav
",2018-11-02 11:16:11,2018-11-02 11:16:14,2.772s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-11-02 11:16:14,2018-11-02 11:16:16,2.205s,PASSED
verifyElementVisible,Firefox 62.0,,2018-11-02 11:16:16,2018-11-02 11:16:17,0.617s,PASSED
click,Firefox 62.0,Use the VoD Summary CTA,2018-11-02 11:16:17,2018-11-02 11:16:20,3.024s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-11-02 11:16:20,2018-11-02 11:16:22,1.654s,PASSED
verifyElementText,Firefox 62.0,Verify we are on the Video on Demand Summary page by looking for the Video on Demand Summary title,2018-11-02 11:16:22,2018-11-02 11:16:22,0.809s,PASSED
click,Firefox 62.0,"Go back to the Landing page via Overview in the nav
",2018-11-02 11:16:22,2018-11-02 11:16:25,2.187s,PASSED
