Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Private - TC1 Sanity Check,Firefox 68.0,This is a sanity check for the TC1 DMS.  It is a basic set of tests that will raise confidence that the deploy was successful.,2019-08-26 15:15:06,2019-08-26 16:01:14,46m - 7.616s,FAILED
,,,,,,
Test Cases/TC1/TC1 - Logging In and Out,Firefox 68.0,This will cover primarily the log in process and validation of Sudoing as a different user,2019-08-26 15:15:06,2019-08-26 15:15:26,19.157s,PASSED
openBrowser,Firefox 68.0,"Fires up the browser
",2019-08-26 15:15:07,2019-08-26 15:15:14,7.649s,PASSED
setText,Firefox 68.0,Filling out login info (username),2019-08-26 15:15:14,2019-08-26 15:15:14,0.160s,PASSED
setEncryptedText,Firefox 68.0,Filling out login info (password),2019-08-26 15:15:14,2019-08-26 15:15:15,0.110s,PASSED
click,Firefox 68.0,Clicks the Stay Logged In button,2019-08-26 15:15:15,2019-08-26 15:15:15,0.365s,PASSED
click,Firefox 68.0,Clicks the Submit button to login,2019-08-26 15:15:15,2019-08-26 15:15:18,3.406s,PASSED
waitForAngularLoad,Firefox 68.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-08-26 15:15:18,2019-08-26 15:15:21,2.561s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.053s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.022s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.017s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.016s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.016s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.014s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.019s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.019s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.023s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.015s,PASSED
click,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:21,0.358s,PASSED
click,Firefox 68.0,,2019-08-26 15:15:21,2019-08-26 15:15:23,1.226s,PASSED
verifyElementPresent,Firefox 68.0,,2019-08-26 15:15:23,2019-08-26 15:15:23,0.015s,PASSED
verifyTextPresent,Firefox 68.0,,2019-08-26 15:15:23,2019-08-26 15:15:23,0.066s,PASSED
closeBrowser,Firefox 68.0,,2019-08-26 15:15:23,2019-08-26 15:15:26,2.770s,PASSED
,,,,,,
Test Cases/TC1/TC1 - Navigation and CTAs,Firefox 68.0,"This will cover testing of Paul's new navigation and dropdown menus, as well as the three main Calls To Action on the Overview page",2019-08-26 15:15:26,2019-08-26 15:20:59,5m - 33.084s,FAILED
openBrowser,Firefox 68.0,"Fires up the browser
",2019-08-26 15:15:26,2019-08-26 15:15:33,6.987s,PASSED
setText,Firefox 68.0,Filling out login info (username),2019-08-26 15:15:33,2019-08-26 15:15:33,0.140s,PASSED
setEncryptedText,Firefox 68.0,Filling out login info (password),2019-08-26 15:15:33,2019-08-26 15:15:33,0.055s,PASSED
click,Firefox 68.0,Clicks the Stay Logged In button,2019-08-26 15:15:33,2019-08-26 15:15:33,0.365s,PASSED
click,Firefox 68.0,Clicks the Submit button to login,2019-08-26 15:15:33,2019-08-26 15:15:36,2.744s,PASSED
waitForAngularLoad,Firefox 68.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-08-26 15:15:36,2019-08-26 15:15:39,2.729s,PASSED
waitForPageLoad,Firefox 68.0,,2019-08-26 15:15:39,2019-08-26 15:15:39,0.021s,PASSED
verifyElementVisible,Firefox 68.0,,2019-08-26 15:15:39,2019-08-26 15:15:39,0.046s,PASSED
verifyElementVisible,Firefox 68.0,,2019-08-26 15:15:39,2019-08-26 15:15:39,0.033s,PASSED
click,Firefox 68.0,,2019-08-26 15:15:39,2019-08-26 15:15:41,1.785s,PASSED
waitForAngularLoad,Firefox 68.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-08-26 15:15:41,2019-08-26 15:15:44,3.500s,PASSED
verifyElementText,Firefox 68.0,,2019-08-26 15:15:44,2019-08-26 15:15:44,0.062s,PASSED
click,Firefox 68.0,,2019-08-26 15:15:44,2019-08-26 15:15:47,2.343s,PASSED
waitForAngularLoad,Firefox 68.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-08-26 15:15:47,2019-08-26 15:15:49,2.609s,PASSED
verifyElementVisible,Firefox 68.0,,2019-08-26 15:15:49,2019-08-26 15:15:49,0.138s,PASSED
click,Firefox 68.0,,2019-08-26 15:15:49,2019-08-26 15:15:51,1.936s,PASSED
waitForAngularLoad,Firefox 68.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-08-26 15:15:51,2019-08-26 15:15:56,4.528s,PASSED
verifyElementText,Firefox 68.0,,2019-08-26 15:15:56,2019-08-26 15:15:56,0.352s,PASSED
click,Firefox 68.0,,2019-08-26 15:15:56,2019-08-26 15:15:58,2.121s,PASSED
waitForAngularLoad,Firefox 68.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-08-26 15:15:58,2019-08-26 15:16:00,1.975s,PASSED
