Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Public - 10.11 - Intel,Firefox 67.0,,2019-06-21 09:24:50,2019-06-21 09:28:37,3m - 47.937s,PASSED
,,,,,,
Test Cases/Intel/Intel - Logging In and Out,Firefox 67.0,This will cover primarily the log in process and validation of Sudoing as a different user,2019-06-21 09:24:50,2019-06-21 09:25:09,19.094s,PASSED
openBrowser,Firefox 67.0,"Fires up the browser
",2019-06-21 09:24:50,2019-06-21 09:24:57,7.005s,PASSED
setText,Firefox 67.0,Filling out login info (username),2019-06-21 09:24:57,2019-06-21 09:24:57,0.184s,PASSED
setEncryptedText,Firefox 67.0,Filling out login info (password),2019-06-21 09:24:57,2019-06-21 09:24:57,0.134s,PASSED
click,Firefox 67.0,Clicks the Stay Logged In button,2019-06-21 09:24:57,2019-06-21 09:24:58,0.439s,PASSED
click,Firefox 67.0,Clicks the Submit button to login,2019-06-21 09:24:58,2019-06-21 09:25:01,3.197s,PASSED
waitForAngularLoad,Firefox 67.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-06-21 09:25:01,2019-06-21 09:25:06,4.948s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-21 09:25:06,2019-06-21 09:25:06,0.049s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-21 09:25:06,2019-06-21 09:25:06,0.020s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-21 09:25:06,2019-06-21 09:25:06,0.015s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-21 09:25:06,2019-06-21 09:25:06,0.015s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-21 09:25:06,2019-06-21 09:25:06,0.015s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-21 09:25:06,2019-06-21 09:25:06,0.021s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-21 09:25:06,2019-06-21 09:25:06,0.020s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-21 09:25:06,2019-06-21 09:25:06,0.021s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-21 09:25:06,2019-06-21 09:25:06,0.017s,PASSED
