Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Public 10.10 - EU1,Firefox 65.0,,2019-01-29 10:04:23,2019-01-29 10:07:19,2m - 55.709s,PASSED
,,,,,,
Test Cases/Gated - Public Test Cases/10.10 - EU1/EU 1 - Logging In and Out,Firefox 65.0,This will cover primarily the log in process and validation of Sudoing as a different user,2019-01-29 10:04:24,2019-01-29 10:04:44,20.516s,PASSED
openBrowser,Firefox 65.0,"Fires up the browser
",2019-01-29 10:04:24,2019-01-29 10:04:33,9.298s,PASSED
setText,Firefox 65.0,Filling out login info (username),2019-01-29 10:04:33,2019-01-29 10:04:33,0.220s,PASSED
setEncryptedText,Firefox 65.0,Filling out login info (password),2019-01-29 10:04:33,2019-01-29 10:04:34,0.130s,PASSED
click,Firefox 65.0,Clicks the Stay Logged In button,2019-01-29 10:04:34,2019-01-29 10:04:34,0.396s,PASSED
click,Firefox 65.0,Clicks the Submit button to login,2019-01-29 10:04:34,2019-01-29 10:04:38,4.482s,PASSED
waitForAngularLoad,Firefox 65.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-29 10:04:38,2019-01-29 10:04:41,2.636s,PASSED
verifyElementPresent,Firefox 65.0,,2019-01-29 10:04:41,2019-01-29 10:04:41,0.120s,PASSED
verifyElementPresent,Firefox 65.0,,2019-01-29 10:04:41,2019-01-29 10:04:41,0.020s,PASSED
verifyElementPresent,Firefox 65.0,,2019-01-29 10:04:41,2019-01-29 10:04:41,0.012s,PASSED
verifyElementPresent,Firefox 65.0,,2019-01-29 10:04:41,2019-01-29 10:04:41,0.013s,PASSED
verifyElementPresent,Firefox 65.0,,2019-01-29 10:04:41,2019-01-29 10:04:41,0.013s,PASSED
verifyElementPresent,Firefox 65.0,,2019-01-29 10:04:41,2019-01-29 10:04:41,0.016s,PASSED
verifyElementPresent,Firefox 65.0,,2019-01-29 10:04:41,2019-01-29 10:04:41,0.018s,PASSED
verifyElementPresent,Firefox 65.0,,2019-01-29 10:04:41,2019-01-29 10:04:41,0.016s,PASSED
verifyElementPresent,Firefox 65.0,,2019-01-29 10:04:41,2019-01-29 10:04:41,0.020s,PASSED
click,Firefox 65.0,,2019-01-29 10:04:41,2019-01-29 10:04:42,0.383s,PASSED
click,Firefox 65.0,,2019-01-29 10:04:42,2019-01-29 10:04:43,1.468s,PASSED
verifyElementPresent,Firefox 65.0,,2019-01-29 10:04:43,2019-01-29 10:04:43,0.020s,PASSED
verifyTextPresent,Firefox 65.0,,2019-01-29 10:04:43,2019-01-29 10:04:43,0.129s,PASSED
closeBrowser,Firefox 65.0,,2019-01-29 10:04:43,2019-01-29 10:04:44,0.852s,PASSED
,,,,,,
Test Cases/Gated - Public Test Cases/10.10 - EU1/EU 1 - Navigation and CTAs,Firefox 65.0,"This will cover testing of Paul's new navigation and dropdown menus, as well as the three main Calls To Action on the Overview page",2019-01-29 10:04:44,2019-01-29 10:06:19,1m - 34.578s,PASSED
openBrowser,Firefox 65.0,"Fires up the browser
",2019-01-29 10:04:44,2019-01-29 10:04:54,9.502s,PASSED
setText,Firefox 65.0,Filling out login info (username),2019-01-29 10:04:54,2019-01-29 10:04:54,0.137s,PASSED
setEncryptedText,Firefox 65.0,Filling out login info (password),2019-01-29 10:04:54,2019-01-29 10:04:54,0.057s,PASSED
click,Firefox 65.0,Clicks the Stay Logged In button,2019-01-29 10:04:54,2019-01-29 10:04:54,0.401s,PASSED
click,Firefox 65.0,Clicks the Submit button to login,2019-01-29 10:04:54,2019-01-29 10:04:58,4.040s,PASSED
waitForAngularLoad,Firefox 65.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-29 10:04:58,2019-01-29 10:05:01,2.681s,PASSED
waitForPageLoad,Firefox 65.0,,2019-01-29 10:05:01,2019-01-29 10:05:01,0.242s,PASSED
verifyElementVisible,Firefox 65.0,,2019-01-29 10:05:01,2019-01-29 10:05:02,0.159s,PASSED
verifyElementVisible,Firefox 65.0,,2019-01-29 10:05:02,2019-01-29 10:05:02,0.042s,PASSED
click,Firefox 65.0,,2019-01-29 10:05:02,2019-01-29 10:05:05,2.935s,PASSED
waitForAngularLoad,Firefox 65.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-29 10:05:05,2019-01-29 10:05:08,3.329s,PASSED
verifyElementText,Firefox 65.0,,2019-01-29 10:05:08,2019-01-29 10:05:08,0.039s,PASSED
click,Firefox 65.0,,2019-01-29 10:05:08,2019-01-29 10:05:10,2.244s,PASSED
waitForAngularLoad,Firefox 65.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-29 10:05:10,2019-01-29 10:05:13,2.693s,PASSED
verifyElementVisible,Firefox 65.0,,2019-01-29 10:05:13,2019-01-29 10:05:13,0.035s,PASSED
click,Firefox 65.0,,2019-01-29 10:05:13,2019-01-29 10:05:15,2.343s,PASSED
waitForAngularLoad,Firefox 65.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-29 10:05:15,2019-01-29 10:05:18,2.420s,PASSED
verifyElementText,Firefox 65.0,,2019-01-29 10:05:18,2019-01-29 10:05:18,0.045s,PASSED
click,Firefox 65.0,,2019-01-29 10:05:18,2019-01-29 10:05:20,1.884s,PASSED
waitForAngularLoad,Firefox 65.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-01-29 10:05:20,2019-01-29 10:05:23,3.708s,PASSED
verifyElementVisible,Firefox 65.0,,2019-01-29 10:05:23,2019-01-29 10:05:23,0.045s,PASSED
click,Firefox 65.0,,2019-01-29 10:05:23,2019-01-29 10:05:26,2.183s,PASSED
