Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gated Public 10.10 - Prod1,Firefox 65.0,,2019-02-11 14:35:42,2019-02-11 14:46:39,10m - 56.896s,FAILED
,,,,,,
Test Cases/Gated - Public Test Cases/10.10 - Prod1/Prod 1 - Summary and Detail pages,Firefox 65.0,"This will cover all ""main"" Summary pages
-Live Events Summary
-Network Summary
-VoD Summary",2019-02-11 14:35:42,2019-02-11 14:41:29,5m - 47.207s,FAILED
openBrowser,Firefox 65.0,"Fires up the browser
",2019-02-11 14:35:42,2019-02-11 14:35:50,7.816s,PASSED
setText,Firefox 65.0,Filling out login info (username),2019-02-11 14:35:50,2019-02-11 14:35:50,0.149s,PASSED
setEncryptedText,Firefox 65.0,Filling out login info (password),2019-02-11 14:35:50,2019-02-11 14:35:50,0.114s,PASSED
click,Firefox 65.0,Clicks the Stay Logged In button,2019-02-11 14:35:50,2019-02-11 14:35:51,0.375s,PASSED
click,Firefox 65.0,Clicks the Submit button to login,2019-02-11 14:35:51,2019-02-11 14:35:54,3.572s,PASSED
waitForAngularLoad,Firefox 65.0,"Overview / Landing Page: 10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 14:35:54,2019-02-11 14:35:56,2.292s,PASSED
waitForPageLoad,Firefox 65.0,,2019-02-11 14:35:56,2019-02-11 14:35:57,0.173s,PASSED
navigateToUrl,Firefox 65.0,Network Summary,2019-02-11 14:35:57,2019-02-11 14:35:59,2.511s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 14:35:59,2019-02-11 14:37:00,1m - 0.562s,FAILED
waitForPageLoad,Firefox 65.0,,2019-02-11 14:37:00,2019-02-11 14:37:00,0.064s,PASSED
navigateToUrl,Firefox 65.0,Network Content,2019-02-11 14:37:00,2019-02-11 14:37:03,3.196s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 14:37:03,2019-02-11 14:37:03,0.002s,NOT_RUN
waitForPageLoad,Firefox 65.0,,2019-02-11 14:37:03,2019-02-11 14:37:03,0.169s,PASSED
navigateToUrl,Firefox 65.0,Network Locality,2019-02-11 14:37:03,2019-02-11 14:37:06,2.829s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 14:37:06,2019-02-11 14:38:06,1m - 0.348s,FAILED
waitForPageLoad,Firefox 65.0,,2019-02-11 14:38:06,2019-02-11 14:38:06,0.008s,PASSED
navigateToUrl,Firefox 65.0,Live Event Summary,2019-02-11 14:38:06,2019-02-11 14:38:09,2.452s,PASSED
waitForAngularLoad,Firefox 65.0,"60 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2019-02-11 14:38:09,2019-02-11 14:38:11,1.918s,PASSED
