Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prod 3 - Query Performance,Firefox 67.0,,2019-06-10 09:42:39,2019-06-10 09:52:00,9m - 21.694s,FAILED
,,,,,,
Test Cases/Prod 3 - Query Performance,Firefox 67.0,,2019-06-10 09:42:39,2019-06-10 09:52:00,9m - 21.370s,FAILED
openBrowser,Firefox 67.0,"Fires up the browser
",2019-06-10 09:42:39,2019-06-10 09:42:46,6.522s,PASSED
setText,Firefox 67.0,Filling out login info (username),2019-06-10 09:42:46,2019-06-10 09:42:46,0.185s,PASSED
setEncryptedText,Firefox 67.0,Filling out login info (password),2019-06-10 09:42:46,2019-06-10 09:42:46,0.127s,PASSED
click,Firefox 67.0,Clicks the Stay Logged In button,2019-06-10 09:42:46,2019-06-10 09:42:47,0.365s,PASSED
click,Firefox 67.0,Clicks the Submit button to login,2019-06-10 09:42:47,2019-06-10 09:42:49,2.507s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements on the landing page and throws an exception after 90 seconds,2019-06-10 09:42:49,2019-06-10 09:42:52,3.076s,PASSED
verifyElementPresent,Firefox 67.0,,2019-06-10 09:42:52,2019-06-10 09:42:52,0.050s,PASSED
navigateToUrl,Firefox 67.0,OVERVIEW DASHBOARD,2019-06-10 09:42:52,2019-06-10 09:42:54,2.291s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements on the landing page and throws an exception after 90 seconds,2019-06-10 09:42:54,2019-06-10 09:42:57,2.518s,PASSED
waitForPageLoad,Firefox 67.0,,2019-06-10 09:42:57,2019-06-10 09:42:57,0.090s,PASSED
navigateToUrl,Firefox 67.0,"LIVE EVENT DETAIL | ~10k agents
Moid: d8f27777-0956-45c2-a5fa-c206baccebf3",2019-06-10 09:42:57,2019-06-10 09:42:59,1.647s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements on the landing page and throws an exception after 90 seconds,2019-06-10 09:42:59,2019-06-10 09:45:30,2m - 31.236s,FAILED
waitForPageLoad,Firefox 67.0,,2019-06-10 09:45:30,2019-06-10 09:45:30,0.006s,PASSED
navigateToUrl,Firefox 67.0,"LIVE (In Progress) EVENT | ~10k Agents, filtered by the past 1 Month",2019-06-10 09:45:30,2019-06-10 09:45:32,2.187s,PASSED
waitForAngularLoad,Firefox 67.0,Waits for all angular elements on the landing page and throws an exception after 90 seconds,2019-06-10 09:45:32,2019-06-10 09:48:03,2m - 30.437s,FAILED
waitForPageLoad,Firefox 67.0,,2019-06-10 09:48:03,2019-06-10 09:48:03,0.007s,PASSED
navigateToUrl,Firefox 67.0,VIDEO ON DEMAND SUMMARY,2019-06-10 09:48:03,2019-06-10 09:48:05,1.923s,PASSED
