Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prod 3 Sanity Check,Firefox 62.0,,2018-11-19 12:53:03,2018-11-19 13:06:54,13m - 51.402s,FAILED
,,,,,,
Test Cases/Prod 3/Prod 3 - Logging In and Out,Firefox 62.0,This will cover primarily the log in process and validation of Sudoing as a different user,2018-11-19 12:53:03,2018-11-19 12:53:23,20.399s,PASSED
openBrowser,Firefox 62.0,"Fires up the browser
",2018-11-19 12:53:03,2018-11-19 12:53:13,9.997s,PASSED
setText,Firefox 62.0,Filling out login info (username),2018-11-19 12:53:13,2018-11-19 12:53:14,0.216s,PASSED
setEncryptedText,Firefox 62.0,Filling out login info (password),2018-11-19 12:53:14,2018-11-19 12:53:14,0.192s,PASSED
click,Firefox 62.0,Clicks the Stay Logged In button,2018-11-19 12:53:14,2018-11-19 12:53:14,0.557s,PASSED
click,Firefox 62.0,Clicks the Submit button to login,2018-11-19 12:53:14,2018-11-19 12:53:18,3.859s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-11-19 12:53:18,2018-11-19 12:53:20,2.209s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-19 12:53:20,2018-11-19 12:53:21,0.197s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-19 12:53:21,2018-11-19 12:53:21,0.114s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-19 12:53:21,2018-11-19 12:53:21,0.188s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-19 12:53:21,2018-11-19 12:53:21,0.120s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-19 12:53:21,2018-11-19 12:53:21,0.011s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-19 12:53:21,2018-11-19 12:53:21,0.018s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-19 12:53:21,2018-11-19 12:53:21,0.017s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-19 12:53:21,2018-11-19 12:53:21,0.015s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-19 12:53:21,2018-11-19 12:53:21,0.014s,PASSED
click,Firefox 62.0,,2018-11-19 12:53:21,2018-11-19 12:53:21,0.362s,PASSED
click,Firefox 62.0,,2018-11-19 12:53:21,2018-11-19 12:53:23,1.238s,PASSED
verifyElementPresent,Firefox 62.0,,2018-11-19 12:53:23,2018-11-19 12:53:23,0.079s,PASSED
verifyTextPresent,Firefox 62.0,,2018-11-19 12:53:23,2018-11-19 12:53:23,0.075s,PASSED
closeBrowser,Firefox 62.0,,2018-11-19 12:53:23,2018-11-19 12:53:23,0.687s,PASSED
,,,,,,
Test Cases/Prod 3/Prod 3 - Navigation and CTAs,Firefox 62.0,"This will cover testing of Paul's new navigation and dropdown menus, as well as the three main Calls To Action on the Overview page",2018-11-19 12:53:23,2018-11-19 12:55:08,1m - 44.907s,PASSED
openBrowser,Firefox 62.0,"Fires up the browser
",2018-11-19 12:53:24,2018-11-19 12:53:30,5.814s,PASSED
setText,Firefox 62.0,Filling out login info (username),2018-11-19 12:53:30,2018-11-19 12:53:30,0.124s,PASSED
setEncryptedText,Firefox 62.0,Filling out login info (password),2018-11-19 12:53:30,2018-11-19 12:53:30,0.047s,PASSED
click,Firefox 62.0,Clicks the Stay Logged In button,2018-11-19 12:53:30,2018-11-19 12:53:30,0.367s,PASSED
click,Firefox 62.0,Clicks the Submit button to login,2018-11-19 12:53:30,2018-11-19 12:53:34,3.899s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-11-19 12:53:34,2018-11-19 12:53:37,2.971s,PASSED
waitForPageLoad,Firefox 62.0,,2018-11-19 12:53:37,2018-11-19 12:53:37,0.156s,PASSED
verifyElementVisible,Firefox 62.0,,2018-11-19 12:53:37,2018-11-19 12:53:37,0.323s,PASSED
verifyElementVisible,Firefox 62.0,,2018-11-19 12:53:37,2018-11-19 12:53:38,0.214s,PASSED
