Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1 Sanity Check,Firefox 62.0,This is a sanity check for the TC1 DMS.  It is a basic set of tests that will raise confidence that the deploy was successful.,2018-10-12 09:42:35,2018-10-12 09:47:52,5m - 17.339s,FAILED
,,,,,,
Test Cases/TC1/TC1 - Logging In and Out,Firefox 62.0,This will cover primarily the log in process and validation of Sudoing as a different user,2018-10-12 09:42:35,2018-10-12 09:43:03,27.846s,PASSED
openBrowser,Firefox 62.0,"Fires up the browser
",2018-10-12 09:42:36,2018-10-12 09:42:43,7.441s,PASSED
setText,Firefox 62.0,Filling out login info (username),2018-10-12 09:42:43,2018-10-12 09:42:43,0.207s,PASSED
setEncryptedText,Firefox 62.0,Filling out login info (password),2018-10-12 09:42:43,2018-10-12 09:42:43,0.131s,PASSED
click,Firefox 62.0,Clicks the Stay Logged In button,2018-10-12 09:42:43,2018-10-12 09:42:44,0.255s,PASSED
click,Firefox 62.0,Clicks the Submit button to login,2018-10-12 09:42:44,2018-10-12 09:42:50,6.657s,PASSED
waitForAngularLoad,Firefox 62.0,"10 second Threshold: Waits for all angular elements on the landing page to load in 10 seconds or less
",2018-10-12 09:42:50,2018-10-12 09:43:01,10.649s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-12 09:43:01,2018-10-12 09:43:01,0.044s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-12 09:43:01,2018-10-12 09:43:01,0.030s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-12 09:43:01,2018-10-12 09:43:01,0.018s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-12 09:43:01,2018-10-12 09:43:01,0.020s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-12 09:43:01,2018-10-12 09:43:01,0.017s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-12 09:43:01,2018-10-12 09:43:01,0.015s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-12 09:43:01,2018-10-12 09:43:01,0.014s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-12 09:43:01,2018-10-12 09:43:01,0.013s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-12 09:43:01,2018-10-12 09:43:01,0.013s,PASSED
